1000	90000.0
1	265	277
2	228	113
3	269	183
4	295	499
5	145	220
6	222	264
7	488	245
8	316	456
9	377	168
10	110	411
11	179	440
12	448	307
13	384	187
14	343	385
15	370	312
16	125	137
17	361	433
18	350	204
19	209	392
20	376	404
21	341	266
22	463	464
23	113	414
24	340	472
25	447	448
26	279	109
27	228	109
28	162	297
29	340	132
30	207	266
31	499	169
32	408	173
33	397	113
34	245	453
35	296	246
36	335	345
37	417	230
38	129	465
39	498	182
40	185	395
41	200	187
42	309	479
43	166	350
44	422	420
45	406	314
46	482	416
47	111	282
48	479	491
49	210	485
50	137	158
51	105	483
52	140	217
53	392	360
54	468	238
55	212	388
56	329	321
57	154	148
58	265	389
59	416	373
60	215	214
61	119	450
62	177	190
63	401	183
64	421	112
65	394	192
66	150	190
67	271	272
68	234	269
69	354	216
70	206	335
71	265	223
72	424	452
73	442	112
74	409	293
75	450	149
76	133	466
77	410	475
78	352	304
79	249	250
80	479	228
81	138	372
82	225	130
83	189	194
84	315	408
85	426	406
86	399	160
87	328	138
88	197	329
89	492	149
90	163	417
91	336	440
92	200	358
93	206	128
94	389	146
95	297	456
96	215	470
97	363	166
98	137	324
99	212	115
100	213	413
101	419	426
102	165	343
103	258	443
104	461	172
105	423	379
106	385	256
107	386	112
108	199	339
109	348	249
110	405	405
111	324	421
112	166	498
113	155	340
114	412	417
115	351	368
116	474	240
117	404	198
118	133	409
119	122	409
120	211	308
121	127	437
122	125	172
123	109	379
124	106	277
125	399	157
126	127	184
127	317	369
128	395	488
129	108	191
130	146	410
131	271	224
132	236	431
133	166	114
134	387	148
135	324	269
136	241	302
137	456	239
138	305	290
139	455	318
140	220	114
141	355	347
142	302	228
143	448	170
144	345	105
145	152	170
146	124	198
147	195	475
148	416	221
149	368	372
150	100	288
151	220	125
152	439	195
153	104	446
154	276	289
155	165	100
156	192	231
157	461	477
158	173	240
159	344	104
160	401	401
161	297	187
162	434	422
163	298	103
164	181	150
165	209	413
166	488	462
167	452	143
168	394	236
169	204	227
170	493	103
171	223	320
172	154	302
173	315	260
174	283	302
175	466	102
176	337	181
177	263	437
178	186	208
179	207	269
180	337	365
181	392	467
182	242	484
183	166	459
184	106	316
185	200	324
186	476	316
187	401	217
188	352	251
189	487	451
190	160	400
191	375	306
192	278	500
193	421	302
194	131	219
195	200	376
196	400	234
197	178	385
198	280	111
199	337	381
200	390	296
201	246	219
202	485	253
203	309	407
204	471	116
205	221	336
206	118	437
207	316	113
208	150	438
209	425	175
210	177	195
211	108	257
212	184	451
213	153	187
214	180	128
215	394	490
216	172	447
217	486	193
218	482	182
219	143	106
220	271	400
221	459	123
222	343	361
223	483	137
224	439	187
225	355	171
226	208	204
227	308	446
228	279	445
229	288	293
230	333	302
231	139	440
232	307	379
233	438	297
234	400	407
235	340	463
236	316	134
237	139	233
238	484	383
239	396	253
240	240	236
241	346	140
242	199	382
243	426	156
244	226	289
245	495	268
246	175	265
247	182	465
248	276	476
249	489	210
250	111	460
251	115	375
252	398	236
253	216	284
254	153	498
255	378	151
256	222	247
257	327	185
258	437	385
259	134	160
260	404	307
261	496	460
262	139	478
263	451	176
264	193	228
265	273	411
266	296	404
267	121	430
268	475	163
269	168	185
270	313	101
271	323	391
272	473	447
273	260	473
274	233	130
275	453	162
276	406	382
277	179	136
278	491	105
279	425	267
280	110	266
281	362	233
282	205	222
283	392	119
284	497	276
285	211	127
286	370	117
287	173	348
288	459	303
289	474	349
290	350	243
291	341	275
292	322	166
293	466	129
294	274	186
295	253	313
296	225	495
297	450	441
298	336	119
299	394	374
300	336	295
301	407	266
302	165	417
303	496	272
304	281	112
305	500	355
306	307	202
307	206	203
308	113	187
309	262	371
310	354	500
311	383	274
312	382	322
313	440	281
314	391	112
315	371	188
316	217	258
317	277	119
318	474	132
319	348	237
320	431	282
321	408	342
322	207	188
323	296	111
324	302	258
325	332	332
326	158	139
327	482	499
328	478	197
329	430	259
330	150	128
331	399	146
332	451	377
333	112	449
334	388	487
335	460	389
336	440	311
337	246	483
338	253	226
339	399	410
340	342	382
341	448	367
342	121	187
343	459	221
344	168	444
345	400	196
346	441	201
347	328	449
348	455	201
349	388	457
350	417	110
351	102	103
352	439	277
353	375	388
354	360	230
355	442	425
356	302	163
357	259	346
358	224	479
359	392	169
360	276	187
361	400	195
362	197	365
363	239	241
364	296	270
365	467	270
366	475	463
367	466	434
368	415	417
369	303	320
370	276	153
371	392	377
372	250	319
373	252	400
374	239	475
375	150	463
376	289	396
377	433	108
378	438	251
379	184	242
380	312	273
381	219	332
382	378	150
383	129	266
384	360	410
385	425	108
386	204	230
387	253	261
388	126	277
